Word;freqlemfilms2;freqlemlivres;freqfilms2;freqlivres
a;81.36;58.65;81.36;58.65
a;18559.22;12800.81;6350.91;2926.69
a;13572.4;6426.49;5498.34;1669.39
a capella;0.04;0.07;0.04;0.07
a cappella;0.04;0.07;0.04;0.07
a contrario;0;0.27;0;0.27
a fortiori;0.04;0.88;0.04;0.88
a giorno;0;0.27;0;0.27
a jeun;1.45;3.85;0.18;0
a l'instar;0.26;0;0.26;0
a posteriori;0.05;0.2;0.01;0.14
a priori;1.04;3.85;0.63;2.57
a priori;0.41;0.47;0.41;0.47
aa;0.01;0;0.01;0
ab absurdo;0;0.07;0;0.07
ab initio;0.01;0.07;0.01;0.07
ab ovo;0;0.27;0;0.27
abaca;0.01;0;0.01;0
abaissa;4.93;18.04;0;2.64
abaissai;4.93;18.04;0.1;0.07
abaissaient;4.93;18.04;0;0.41
abaissait;4.93;18.04;0.02;2.5
abaissant;0.04;0.27;0.03;0.27
abaissant;4.93;18.04;0.01;2.5
abaissante;0.04;0.27;0.01;0
abaisse;0.02;0;0.02;0
abaisse;4.93;18.04;1.28;3.45
abaisse-langue;0.04;0.14;0.04;0.14
abaissement;0.31;2.16;0.31;2.16
abaissent;4.93;18.04;0.05;0.95
abaisser;4.93;18.04;1.09;2.91
abaissera;4.93;18.04;0.19;0.07
abaisserai;4.93;18.04;0.1;0.07
abaisseraient;4.93;18.04;0.01;0.07
abaisserais;4.93;18.04;0.13;0
abaisserait;4.93;18.04;0.02;0.2
abaisses;4.93;18.04;0.16;0.07
abaissez;4.93;18.04;0.53;0.07
abaissons;4.93;18.04;0.02;0
abaissèrent;4.93;18.04;0;0.41
abaissé;4.93;18.04;0.74;1.35
abaissé;0.07;0.74;0.03;0.2
abaissée;4.93;18.04;0.17;0.27
abaissée;0.07;0.74;0;0.2
abaissées;4.93;18.04;0.01;0
abaissées;0.07;0.74;0.02;0.27
abaissés;4.93;18.04;0.3;0.07
abaissés;0.07;0.74;0.01;0.07
abalone;0.01;0.07;0.01;0
abalones;0.01;0.07;0;0.07
abandon;4.84;27.36;4.77;25.2
abandonna;110.87;128.45;0.59;8.92
abandonnai;110.87;128.45;0.27;2.16
abandonnaient;110.87;128.45;0.07;1.55
abandonnais;110.87;128.45;0.35;1.49
abandonnait;110.87;128.45;1.04;9.46
abandonnant;110.87;128.45;1.15;9.93
abandonnas;110.87;128.45;0;0.14
abandonne;110.87;128.45;24.04;15.54
abandonnent;110.87;128.45;2.44;2.64
abandonner;110.87;128.45;28.37;27.7
abandonnera;110.87;128.45;1.52;0.81
abandonnerai;110.87;128.45;2.39;0.41
abandonneraient;110.87;128.45;0.02;0.14
abandonnerais;110.87;128.45;0.93;0.27
abandonnerait;110.87;128.45;0.23;0.88
abandonneras;110.87;128.45;0.3;0.2
abandonnerez;110.87;128.45;0.14;0
abandonneriez;110.87;128.45;0.23;0.2
abandonnerions;110.87;128.45;0.01;0
abandonnerons;110.87;128.45;0.39;0.14
abandonneront;110.87;128.45;0.41;0.27
abandonnes;110.87;128.45;4.13;0.14
abandonneurs;0;0.07;0;0.07
abandonnez;110.87;128.45;5.72;0.88
abandonniez;110.87;128.45;0.14;0.14
abandonnions;110.87;128.45;0.06;0.54
abandonnique;0;0.07;0;0.07
abandonnons;110.87;128.45;1.06;0.68
abandonnâmes;110.87;128.45;0;0.27
abandonnât;110.87;128.45;0;0.34
abandonnèrent;110.87;128.45;0.16;1.42
abandonné;110.87;128.45;22.56;23.92
abandonné;8.27;24.39;3.84;8.45
abandonnée;110.87;128.45;7.34;9.66
abandonnée;8.27;24.39;2.94;8.24
abandonnées;110.87;128.45;1.27;2.7
abandonnées;8.27;24.39;0.44;2.97
abandonnés;110.87;128.45;3.55;4.93
abandonnés;8.27;24.39;1.05;4.73
abandons;4.84;27.36;0.07;2.16
abaque;0;0.07;0;0.07
abasourdi;0.4;2.64;0.24;2.03
abasourdi;0.55;2.97;0.35;2.09
abasourdie;0.4;2.64;0.14;0.54
abasourdie;0.55;2.97;0.12;0.54
abasourdir;0.55;2.97;0.01;0.14
abasourdis;0.4;2.64;0.02;0.07
abasourdis;0.55;2.97;0.07;0.2
abasourdissant;0.01;0.07;0.01;0
abasourdissants;0.01;0.07;0;0.07
abat;0.65;1.01;0.13;0.2
abat;43.47;50.61;2.15;4.93
abat-jour;0.51;8.24;0.51;8.24
abat-son;0;0.27;0;0.27
abatage;0;0.07;0;0.07
abatis;0;0.88;0;0.88
abats;0.65;1.01;0.52;0.81
abats;43.47;50.61;1.79;0.54
abattage;0.65;1.28;0.63;1.15
abattages;0.65;1.28;0.02;0.14
abattaient;43.47;50.61;0.06;2.36
abattais;43.47;50.61;0.02;0.27
abattait;43.47;50.61;0.42;3.45
abattant;0.07;0.61;0.05;0.54
abattant;43.47;50.61;0.31;1.96
abattants;0.07;0.61;0.01;0.07
abatte;43.47;50.61;0.58;0.61
abattement;0.18;2.64;0.17;2.36
abattements;0.18;2.64;0.01;0.27
abattent;43.47;50.61;0.69;2.03
abattes;43.47;50.61;0.11;0
abatteur;0.14;0.27;0.14;0.2
abatteurs;0.14;0.27;0;0.07
abattez;43.47;50.61;2.21;0
abattiez;43.47;50.61;0.06;0
abattions;43.47;50.61;0;0.07
abattirent;43.47;50.61;0.03;0.95
abattis;0.14;1.08;0.14;1.08
abattis;43.47;50.61;0;0.27
abattit;43.47;50.61;0.34;5.07
abattoir;3.16;4.66;2.67;2.36
abattoirs;3.16;4.66;0.48;2.3
abattons;43.47;50.61;0.33;0
abattra;43.47;50.61;1.51;0.61
abattrai;43.47;50.61;0.39;0
abattraient;43.47;50.61;0.03;0.07
abattrais;43.47;50.61;0.1;0.07
abattrait;43.47;50.61;0.63;0.41
abattras;43.47;50.61;0.03;0
abattre;43.47;50.61;14.43;14.32
abattrez;43.47;50.61;0.26;0
abattriez;43.47;50.61;0.02;0
abattrons;43.47;50.61;0.11;0
abattront;43.47;50.61;0.34;0.07
abattu;43.47;50.61;11.48;7.43
abattu;2.51;7.09;1.82;3.78
abattu;0.53;1.42;0.18;1.22
abattue;43.47;50.61;2.19;2.43
abattue;2.51;7.09;0.18;1.55
abattues;43.47;50.61;0.44;0.27
abattues;2.51;7.09;0.04;0.68
abattures;0;0.14;0;0.14
abattus;43.47;50.61;2.42;2.43
abattus;2.51;7.09;0.47;1.08
abattus;0.53;1.42;0.35;0.2
abbatial;0;0.61;0;0.27
abbatiale;0;0.61;0;0.27
abbatiale;0;0.14;0;0.14
abbatiales;0;0.61;0;0.07
abbaye;3.94;3.78;3.66;3.31
abbayes;3.94;3.78;0.28;0.47
abbesse;4.46;33.51;0.26;0.41
abbesses;4.46;33.51;0;0.61
abbé;4.46;33.51;4.19;31.28
abbés;4.46;33.51;0.02;1.22
abc;0.04;0;0.04;0
abcès;1.79;3.31;1.79;3.31
abdication;0.05;1.96;0.05;1.82
abdications;0.05;1.96;0;0.14
abdiqua;0.47;2.77;0;0.2
abdiquai;0.47;2.77;0;0.07
abdiquaient;0.47;2.77;0;0.07
abdiquais;0.47;2.77;0;0.14
abdiquait;0.47;2.77;0;0.2
abdiquant;0.47;2.77;0;0.07
abdique;0.47;2.77;0.23;0.41
abdiquer;0.47;2.77;0.08;0.41
abdiquera;0.47;2.77;0.01;0.07
abdiquerais;0.47;2.77;0;0.07
abdiquerait;0.47;2.77;0;0.07
abdiquez;0.47;2.77;0.03;0
abdiqué;0.47;2.77;0.11;0.95
abdiquée;0.47;2.77;0;0.07
abdomen;2.76;1.55;2.76;1.55
abdominal;2.56;0.74;0.5;0
abdominale;2.56;0.74;1.3;0.61
abdominales;2.56;0.74;0.7;0
abdominaux;2.56;0.74;0.06;0.14
abdominaux;0.09;0.68;0.09;0.68
abdos;0.86;0;0.86;0
abducteur;0.01;0;0.01;0
abduction;0.05;0;0.05;0
abeille;9.11;9.86;3.53;3.18
abeilles;9.11;9.86;5.59;6.69
aber;0.25;0;0.25;0
aberrant;0.84;2.5;0.58;1.08
aberrant;0;0.2;0;0.2
aberrante;0.84;2.5;0.04;0.61
aberrantes;0.84;2.5;0.2;0.34
aberrants;0.84;2.5;0.02;0.47
aberration;1.16;4.46;0.89;3.31
aberrations;1.16;4.46;0.27;1.15
abhorrais;0.27;1.35;0.01;0.07
abhorrait;0.27;1.35;0.01;0.68
abhorrant;0.27;1.35;0.01;0.07
abhorre;0.27;1.35;0.2;0
abhorrer;0.27;1.35;0;0.14
abhorrez;0.27;1.35;0.03;0
abhorré;0.27;1.35;0.01;0.27
abhorré;0.01;0.27;0;0.2
abhorrée;0.27;1.35;0;0.07
abhorrée;0.01;0.27;0.01;0.07
abhorrés;0.27;1.35;0;0.07
abject;2.19;3.92;1.4;1.69
abjecte;2.19;3.92;0.69;1.49
abjectement;0.1;0.07;0.1;0.07
abjectes;2.19;3.92;0.05;0.2
abjection;0.51;2.3;0.37;2.16
abjections;0.51;2.3;0.14;0.14
abjects;2.19;3.92;0.05;0.54
abjurant;1.53;1.28;0.14;0
abjuration;0;0.47;0;0.41
abjurations;0;0.47;0;0.07
abjure;1.53;1.28;0.77;0.14
abjurer;1.53;1.28;0.22;0.68
abjurez;1.53;1.28;0.4;0
abjurons;1.53;1.28;0;0.07
abjuré;1.53;1.28;0;0.41
abkhaze;0;0.07;0;0.07
ablatif;0;0.14;0;0.14
ablation;0.45;1.35;0.43;1.28
ablations;0.45;1.35;0.03;0.07
able;0.68;0.14;0.68;0.14
ablette;0.14;0.95;0;0.41
ablettes;0.14;0.95;0.14;0.54
ablution;0.48;1.55;0.01;0.14
ablutions;0.48;1.55;0.47;1.42
abnégation;0.91;3.58;0.91;3.58
aboi;0.78;3.58;0;0.88
aboie;7.43;11.82;2.91;2.03
aboiement;1.79;5.95;0.44;2.36
aboiements;1.79;5.95;1.35;3.58
aboient;7.43;11.82;0.54;0.81
aboiera;7.43;11.82;0.21;0
aboierait;7.43;11.82;0.01;0.07
aboieront;7.43;11.82;0.01;0.07
aboies;7.43;11.82;0.42;0
abois;0.78;3.58;0.78;2.7
aboli;0.08;2.57;0.02;1.28
aboli;3.08;9.32;1.1;1.42
abolie;0.08;2.57;0.06;0.61
abolie;3.08;9.32;0.06;0.54
abolies;0.08;2.57;0;0.27
abolies;3.08;9.32;0.11;0.34
abolir;3.08;9.32;1.08;2.97
abolira;3.08;9.32;0.01;0.34
abolirait;3.08;9.32;0;0.07
aboliras;3.08;9.32;0.01;0
abolis;0.08;2.57;0;0.41
abolis;3.08;9.32;0.14;0.41
abolissaient;3.08;9.32;0;0.41
abolissais;3.08;9.32;0;0.07
abolissait;3.08;9.32;0;0.74
abolissant;3.08;9.32;0.25;0.54
abolissent;3.08;9.32;0;0.14
abolissions;3.08;9.32;0;0.07
abolissons;3.08;9.32;0.02;0
abolit;3.08;9.32;0.29;1.28
abolition;0.45;1.49;0.45;1.49
abolitionniste;0.03;0.07;0.03;0
abolitionniste;0.17;0.07;0.07;0
abolitionnistes;0.03;0.07;0;0.07
abolitionnistes;0.17;0.07;0.1;0.07
abominable;5.39;11.22;4.78;8.99
abominablement;0.01;0.68;0.01;0.68
abominables;5.39;11.22;0.62;2.23
abominaient;0;0.54;0;0.07
abomination;1.94;4.53;1.24;3.04
abominations;1.94;4.53;0.69;1.49
abomine;0;0.54;0;0.41
abominer;0;0.54;0;0.07
abonda;1.13;4.59;0;0.27
abondai;1.13;4.59;0;0.07
abondaient;1.13;4.59;0.12;1.42
abondais;1.13;4.59;0.01;0.14
abondait;1.13;4.59;0.02;0.47
abondamment;0.3;4.93;0.3;4.93
abondance;2.76;9.39;2.76;9.39
abondant;1.36;7.03;0.09;1.42
abondant;1.13;4.59;0.02;0.07
abondante;1.36;7.03;0.89;3.45
abondantes;1.36;7.03;0.33;1.22
abondants;1.36;7.03;0.05;0.95
abondassent;1.13;4.59;0;0.07
abonde;1.13;4.59;0.28;0.81
abondent;1.13;4.59;0.63;0.47
abonder;1.13;4.59;0.03;0.61
abondé;1.13;4.59;0.01;0.2
abonnai;1.1;2.09;0;0.07
abonnant;1.1;2.09;0.01;0
abonne;1.1;2.09;0.18;0.07
abonnement;4.82;1.62;3.37;1.55
abonnements;4.82;1.62;1.45;0.07
abonner;1.1;2.09;0.27;0.14
abonnez;1.1;2.09;0.03;0.07
abonnât;1.1;2.09;0;0.07
abonné;1.1;2.09;0.3;0.88
abonné;0.47;0;0.3;0
abonné;0.87;2.23;0.3;0.34
abonnée;1.1;2.09;0.15;0.68
abonnée;0.47;0;0.01;0
abonnée;0.87;2.23;0.04;0.14
abonnées;1.1;2.09;0.01;0
abonnées;0.87;2.23;0.02;0.2
abonnés;1.1;2.09;0.16;0.14
abonnés;0.47;0;0.16;0
abonnés;0.87;2.23;0.52;1.55
abord;2.22;19.05;0.89;7.3
aborda;12.55;33.18;0.16;3.99
abordable;0.47;0.2;0.34;0.2
abordables;0.47;0.2;0.13;0
abordage;1.22;1.49;1.17;1.42
abordages;1.22;1.49;0.05;0.07
abordai;12.55;33.18;0;0.61
abordaient;12.55;33.18;0.03;1.28
abordais;12.55;33.18;0;0.54
abordait;12.55;33.18;0.47;2.5
abordant;12.55;33.18;0.03;1.42
aborde;12.55;33.18;1.76;2.36
abordent;12.55;33.18;0.09;0.54
aborder;12.55;33.18;5.65;12.91
abordera;12.55;33.18;0.2;0.34
aborderai;12.55;33.18;0.08;0.14
aborderaient;12.55;33.18;0;0.07
aborderais;12.55;33.18;0.02;0.07
aborderait;12.55;33.18;0.02;0.14
aborderiez;12.55;33.18;0.01;0
aborderions;12.55;33.18;0;0.14
aborderons;12.55;33.18;0.09;0.07
aborderont;12.55;33.18;0.04;0.14
abordes;12.55;33.18;0.36;0.07
abordez;12.55;33.18;0.75;0
abordiez;12.55;33.18;0.02;0.07
abordions;12.55;33.18;0.04;0.34
abordons;12.55;33.18;0.72;0.41
abords;2.22;19.05;1.33;11.76
abordâmes;12.55;33.18;0;0.27
abordèrent;12.55;33.18;0.01;0.68
abordé;12.55;33.18;1.36;2.97
abordé;0.15;0.2;0.03;0.14
